id,title,full_name,year,subfield,rank,importance,link,source,deadline,abstract_deadline,deadline_timezone,event_start,event_end,date_text,place,city,country,latitude,longitude,image_url,deadline_status,event_status,notes
aaai26,AAAI,AAAI Conference on Artificial Intelligence,2026,AI,A,8.2,https://aaai.org/conference/aaai/aaai-26/,CCF Deadlines:conference/AI/aaai.yml,2025-08-01 23:59:59,2025-07-25 23:59:59,UTC-12,2026-01-20,2026-01-27,"January 20 - 27, 2026",Singapore EXPO,Singapore,Singapore,1.3521,103.8198,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Marina_Bay_Sands_%28I%29.jpg/330px-Marina_Bay_Sands_%28I%29.jpg,known,known,
wsdm26,WSDM,International Conference on Web Search and Data Mining,2026,DM,B,6.8,https://wsdm-conference.org/2026/,CCF Deadlines:conference/DB/wsdm.yml,2025-08-14 23:59:59,2025-08-07 23:59:59,UTC-12,2026-02-22,2026-02-26,"February 22 - 26, 2026","Boise, Idaho, USA",Boise,United States,43.615,-116.2023,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Boise_Metro_Chamber_of_Commerce_photo_to_share_-_winter_2017.jpg/330px-Boise_Metro_Chamber_of_Commerce_photo_to_share_-_winter_2017.jpg,known,known,
wacv26,WACV,IEEE/CVF Winter Conference on Applications of Computer Vision,2026,CV,N,6.5,https://wacv.thecvf.com/,CCF Deadlines:conference/AI/wacv.yml,2025-09-19 23:59:59,2025-09-12 23:59:00,AoE,2026-03-06,2026-03-10,"Mar 6 - 10, 2026","Tucson, Arizona, USA",Tucson,United States,32.2226,-110.9747,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/View_of_Tucson_from_Sentinel_Peak_2.jpg/330px-View_of_Tucson_from_Sentinel_Peak_2.jpg,known,known,Second round
eacl26,EACL,The Annual Conference of the European Chapter of the Association for Computational Linguistics,2026,NLP,N,6.4,https://2026.eacl.org/,CCF Deadlines:conference/AI/eacl.yml,2025-10-06 23:59:59,,AoE,2026-03-24,2026-03-29,"March 24-29, 2026","Rabat, Morocco",Morocco,Morocco,31.7917,-7.0926,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Morocco_-_Rabat_%2831387775324%29.jpg/330px-Morocco_-_Rabat_%2831387775324%29.jpg,known,known,
ecir26,ECIR,European Conference on Information Retrieval,2026,DB,C,4.0,https://ecir2026.eu/,CCF Deadlines:conference/DB/ecir.yml,2025-10-02 23:59:59,2025-09-25 23:59:59,AoE,2026-03-30,2026-04-01,"March 30 - April 01, 2026","Delft, The Netherlands",Delft,Nederland,51.9994572,4.3627245,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Delft_Blick_von_der_Nieuwe_Kerk_auf_die_Oude_Kerk_1.jpg/330px-Delft_Blick_von_der_Nieuwe_Kerk_auf_die_Oude_Kerk_1.jpg,known,known,
iclr26,ICLR,International Conference on Learning Representations,2026,AI,A,9.4,https://iclr.cc/Conferences/2026,CCF Deadlines:conference/AI/iclr.yml,2025-09-24 23:59:59,2025-09-19 23:59:59,AoE,2026-05-01,2026-05-05,"May 01-05, 2026",Brazil,Rio de Janeiro,Brazil,-22.9068,-43.1729,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Cidade_Maravilhosa.jpg/330px-Cidade_Maravilhosa.jpg,known,known,
aistats26,AISTATS,International Conference on Artificial Intelligence and Statistics,2026,AI,C,7.4,https://virtual.aistats.org/Conferences/2026,CCF Deadlines:conference/AI/aistats.yml,2025-10-02 23:59:59,2025-09-25 23:59:59,UTC-12,2026-05-02,2026-05-05,"May 2-5, 2026",Morocco,Morocco,Morocco,31.7917,-7.0926,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Morocco_-_Rabat_%2831387775324%29.jpg/330px-Morocco_-_Rabat_%2831387775324%29.jpg,known,known,
icde26,ICDE,IEEE International Conference on Data Engineering,2026,DB,A,7.6,https://icde2026.github.io/,CCF Deadlines:conference/DB/icde.yml,2025-10-27 17:00:00,,UTC-7,2026-05-04,2026-05-08,"May 4-8, 2026","Montréal, Canada",Montréal,Canada,45.5019,-73.5674,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Mtl_from_mont_royal_%28cropped%29.jpg/330px-Mtl_from_mont_royal_%28cropped%29.jpg,known,known,second round
aamas26,AAMAS,International Conference on Autonomous Agents and Multiagent Systems,2026,AI,B,6.1,https://cyprusconferences.org/aamas2026,CCF Deadlines:conference/AI/aamas.yml,2025-10-08 23:59:59,2025-10-01 23:59:59,UTC-12,2026-05-27,2026-05-29,"May 27-29, 2026","Paphos, Cyprus",Paphos,Cyprus,34.772,32.4297,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Paphos_Marine%2C_Cyprus_-_panoramio.jpg/330px-Paphos_Marine%2C_Cyprus_-_panoramio.jpg,known,known,
icra26,ICRA,IEEE International Conference on Robotics and Automation,2026,RO,B,7.8,https://2026.ieee-icra.org/,CCF Deadlines:conference/AI/icra.yml,2025-09-15 23:59:00,,UTC-8,2026-06-01,2026-06-05,"Jun 1-5, 2026","Vienna, Austria",Vienna,Austria,48.2082,16.3738,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Schoenbrunn_philharmoniker_2012.jpg/330px-Schoenbrunn_philharmoniker_2012.jpg,known,known,
